country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","15-12-2025 17:00:00",17.72,83.3,NH3,4,4,4
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","15-12-2025 17:00:00",27.103358,93.679645,PM10,52,499,183
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","15-12-2025 17:00:00",27.103358,93.679645,NO2,6,7,7
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","15-12-2025 17:00:00",14.675886,77.593027,PM10,72,94,83
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","15-12-2025 17:00:00",13.204880,79.097889,PM2.5,26,149,97
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","15-12-2025 17:00:00",13.204880,79.097889,PM10,27,111,92
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","15-12-2025 17:00:00",16.554731,80.649110,SO2,16,18,17
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","15-12-2025 17:00:00",17.72,83.3,PM10,153,217,183
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","15-12-2025 17:00:00",16.9872867,81.7363176,CO,29,69,37
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","15-12-2025 17:00:00",13.67,79.35,CO,1,72,29
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","15-12-2025 17:00:00",11.654054,92.734055,NH3,NA,NA,NA
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","15-12-2025 17:00:00",11.654054,92.734055,SO2,2,84,28
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","15-12-2025 17:00:00",16.509717,80.612222,NH3,5,8,7
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","15-12-2025 17:00:00",16.5150833,80.5181667,PM10,95,179,145
